country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2020-08-06,1224,78,705,441,
Liberia,2021-04-07,2042,85,1899,58,
Liberia,2020-09-27,1339,82,1221,36,
Liberia,2022-06-22,7493,294,,,
Liberia,2021-10-20,5808,286,,,
Liberia,2022-01-12,7054,287,,,
Liberia,2022-05-03,7434,294,,,
Liberia,2021-01-23,1914,84,1714,116,
Liberia,2020-07-27,1167,72,646,449,
Liberia,2021-05-15,2114,85,1962,67,
Liberia,2022-08-10,7548,294,,,
Liberia,2022-07-02,7497,294,,,
Liberia,2022-05-29,7455,294,,,
Liberia,2021-06-27,3736,120,2274,1342,
Liberia,2020-10-30,1426,82,1279,65,
Liberia,2022-02-07,7346,290,,,
Liberia,2020-09-14,1321,82,1213,26,
Liberia,2020-12-02,1595,83,1343,169,
Liberia,2021-06-12,2484,93,2065,326,
Liberia,2022-11-19,8014,294,,,
Liberia,2021-11-20,5818,287,,,
Liberia,2022-04-05,7400,294,,,
Liberia,2020-09-18,1334,82,1214,38,
Liberia,2022-07-22,7508,294,,,
Liberia,2022-09-30,7961,294,,,
Liberia,2022-02-21,7360,290,,,
Liberia,2020-04-18,76,7,7,62,
Liberia,2020-05-18,229,22,123,84,
Liberia,2021-07-15,5306,148,2652,2506,
Liberia,2022-04-24,7432,294,,,
Liberia,2022-10-03,7974,294,,,
Liberia,2021-09-18,5904,283,,,
Liberia,2020-12-01,1595,83,1343,169,
Liberia,2020-04-13,59,6,4,49,
Liberia,2021-02-09,1956,84,1770,102,
Liberia,2021-11-12,5818,287,,,
Liberia,2021-04-25,2097,85,1940,72,
Liberia,2022-01-15,7121,287,,,
Liberia,2022-07-14,7504,294,,,
Liberia,2022-10-05,7974,294,,,
Liberia,2021-06-29,3900,127,2315,1458,
Liberia,2021-01-29,1939,84,1757,98,
Liberia,2020-06-01,296,27,159,110,
Liberia,2022-04-25,7432,294,,,
Liberia,2022-03-17,7397,294,,,
Liberia,2020-05-07,189,20,79,90,
Liberia,2021-03-10,2026,85,1898,43,
Liberia,2020-07-16,1070,68,486,516,
Liberia,2020-09-25,1338,82,1221,35,
Liberia,2022-09-25,7961,294,,,
Liberia,2020-09-07,1311,82,1190,39,
Liberia,2021-04-19,2042,85,1899,58,
Liberia,2021-09-19,5904,283,,,
Liberia,2021-08-02,5459,148,2715,2596,
Liberia,2021-03-02,2014,85,1884,45,
Liberia,2021-02-22,1996,85,1856,55,
Liberia,2022-10-11,7985,294,,,
Liberia,2020-10-16,1377,82,1264,31,
Liberia,2022-08-02,7538,294,,,
Liberia,2021-07-09,5080,142,2565,2373,
